,Product Name,Prices,Description,Link
0,"Apple iPhone 16 Pro (White Titanium, 256 GB)","₹1,22,900","256 GB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-white-titanium-256-gb/p/itm35f749ba5d1ea?pid=MOBH4JCVFZ3ADSHJ&lid=LSTMOBH4JCVFZ3ADSHJBCGX4N&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_25&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4JCVFZ3ADSHJ.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
1,"Samsung Galaxy Z Fold7 5G (Jetblack, 256 GB)","₹1,74,999",12 GB RAM | 256 GB ROM20.32 cm (8 inch) QXGA+ Display200MP + 12MP + 10MP | 10MP Front Camera4400 mAh BatterySnapdragon 8 Elite for Galaxy Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-z-fold7-5g-jetblack-256-gb/p/itmd67f8c5016fd9?pid=MOBHD92UFAYEGYWS&lid=LSTMOBHD92UFAYEGYWSWES5W4&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_26&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBHD92UFAYEGYWS.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
2,"CMF by Nothing Phone 2 Pro (Light Green, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,https://www.flipkart.com/cmf-nothing-phone-2-pro-light-green-128-gb/p/itm46a119f176627?pid=MOBHAUHADASAEX2G&lid=LSTMOBHAUHADASAEX2GYKJS5R&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_27&otracker=search&otracker1=search&fm=organic&iid=en_rfHJnNq1mT9VVZdL7RIr4n77vAXeDM5bN9Pj_4QrSEdHMGrVfUBPfmD-5Y7E4Vnx9TPUnrf94HFwJl2mDs7BrfUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
3,"CMF by Nothing Phone 2 Pro (Orange, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,https://www.flipkart.com/cmf-nothing-phone-2-pro-orange-128-gb/p/itm46a119f176627?pid=MOBHAUHAHD3TRJ7X&lid=LSTMOBHAUHAHD3TRJ7XRKZ0X4&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_28&otracker=search&otracker1=search&fm=organic&iid=en_rfHJnNq1mT9VVZdL7RIr4n77vAXeDM5bN9Pj_4QrSEflAITApn6ivcH4SYpjUuCee6Oau7IR-2G7_7GnDNalw_UFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
4,"Samsung Galaxy S23 Ultra 5G (Cream, 512 GB)","₹1,61,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 10MP + 12MP + 10MP | 12MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s23-ultra-5g-cream-512-gb/p/itm1db5d333d4ee1?pid=MOBGMFFXEHJGRUXK&lid=LSTMOBGMFFXEHJGRUXKYBVAQY&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_29&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBGMFFXEHJGRUXK.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
5,"Samsung Galaxy S23 Ultra 5G (Green, 512 GB)","₹1,61,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 10MP + 12MP + 10MP | 12MP Front Camera5000 mAh Lithium Ion BatteryQualcomm Snapdragon 8 Gen 2 Processor1 Year Manufacturer Warranty for Device and 6 Months Manufacturer Warranty for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s23-ultra-5g-green-512-gb/p/itmd130b01abaea9?pid=MOBGMFFXM5ZNZYQZ&lid=LSTMOBGMFFXM5ZNZYQZ2ZYFBM&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_30&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBGMFFXM5ZNZYQZ.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
6,"CMF by Nothing Phone 2 Pro (White, 128 GB)","₹18,999",8 GB RAM | 128 GB ROM | Expandable Upto 2 TB17.2 cm (6.77 inch) Display50MP + 50MP + 8MP | 16MP Front Camera5000 mAh BatteryDimensity 7300 Pro 5G Processor1 Year Manufacturing Warranty,https://www.flipkart.com/cmf-nothing-phone-2-pro-white-128-gb/p/itm46a119f176627?pid=MOBHAUHAEYXGMWMY&lid=LSTMOBHAUHAEYXGMWMYZKP8G0&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_31&otracker=search&otracker1=search&fm=organic&iid=en_rfHJnNq1mT9VVZdL7RIr4n77vAXeDM5bN9Pj_4QrSEcBZBkzVJZ-innhzm_bOTuD4ZK7jm7im0VZ4IYNiH7EgvUFjCTyOHoHZs-Z5_PS_w0%3D&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
7,"Apple iPhone 16 Pro (Desert Titanium, 1 TB)","₹1,62,900","1 TB ROM16.0 cm (6.3 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-desert-titanium-1-tb/p/itmec6717b78c03b?pid=MOBH4DQFP5CGGSYH&lid=LSTMOBH4DQFP5CGGSYHMOA6JK&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_32&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4DQFP5CGGSYH.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
8,"Apple iPhone 16 Pro Max (White Titanium, 512 GB)","₹1,57,900","512 GB ROM17.53 cm (6.9 inch) Super Retina XDR Display48MP + 48MP + 12MP | 12MP Front CameraA18 Pro Chip, 6 Core Processor Processor1 year warranty for phone and 1 year warranty for in Box Accessories.",https://www.flipkart.com/apple-iphone-16-pro-max-white-titanium-512-gb/p/itm9f8d4b52f9a97?pid=MOBH4JCVUEHUXZZT&lid=LSTMOBH4JCVUEHUXZZTBM6YBG&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_33&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBH4JCVUEHUXZZT.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
9,"Samsung Galaxy S24 Ultra 5G (Titanium Gray, 512 GB)","₹1,29,999",12 GB RAM | 512 GB ROM17.27 cm (6.8 inch) Quad HD+ Display200MP + 50MP + 12MP + 10MP | 12MP Front Camera5000 mAh BatterySnapdragon 8 Gen 3 Processor1 Year Manufacturer Warranty for Device and 6 Months for In-Box Accessories,https://www.flipkart.com/samsung-galaxy-s24-ultra-5g-titanium-gray-512-gb/p/itm463827d6eb2be?pid=MOBGX2F3XNW3HK8K&lid=LSTMOBGX2F3XNW3HK8KEJDXPP&marketplace=FLIPKART&q=mobiles+under+200000&store=tyy%2F4io&srno=s_2_34&otracker=search&otracker1=search&fm=organic&iid=ac3d5da7-869d-465d-b8ff-0a0486d9900d.MOBGX2F3XNW3HK8K.SEARCH&ppt=None&ppn=None&ssid=iw3dgpwmgg0000001753444722228&qH=1db27dacccf6b51f
